id,project_id,statusid,fetchtime,creationtime,timezone,userscreenname,userid,username,userlocation,userlang,text,lang,retweet,inreplytostatusid,inreplytouserid,inreplytoscreenname,placeid,placename,placefullname,placetype,placeuri,placecountry,placecountrycode,placestreetaddress,placeboundingbox,placeboundingboxswlat,placeboundingboxswlon,placeboundingboxnelat,placeboundingboxnelon,placeboundingboxtype,point,lat,lon,mediaid,mediatext,mediaurihttp,mediaurihttps,mediatype,medianormaluri,mediadisplayuri,mediaexpandeduri,mediasizes,mediacontenttype,mediacontentlength,mediaextension,mediawidth,mediaheight
143638,helpdesk_dkijakarta,754286234239852544,2016-07-23 13:37:39.663-04,2016-07-16 08:07:06-04,,kenfattyken,736477602047610881,mejamakan,Indonesia,en-GB,@MataNajwa @detikcom @DKIJakarta https://t.co/1y1J0vSr10,und,f,754286057433083905,736477602047610881,kenfattyken,,,,,,,,,,,,,,,,,,754286224068612096,https://t.co/1y1J0vSr10,http://pbs.twimg.com/media/CnfDUwyUkAAYHAI.jpg,https://pbs.twimg.com/media/CnfDUwyUkAAYHAI.jpg,photo,https://t.co/1y1J0vSr10,pic.twitter.com/1y1J0vSr10,http://twitter.com/kenfattyken/status/754286234239852544/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":404,""height"":680,""resize"":100},""2"":{""width"":714,""height"":1200,""resize"":100},""3"":{""width"":750,""height"":1261,""resize"":100}}",image/jpeg,128617,jpg,750,1261
143637,helpdesk_dkijakarta,754291270437130240,2016-07-23 13:37:39.663-04,2016-07-16 08:27:07-04,+07:00,wagesyahputra,302384980,Wage Syahputra,"",en,"RT @infojakarta: Weekend ini yang belum punya acara, bisa loh datang ke Wisata Balai Kota DKI Jkt. GRATIS! #infojakarta @DKIJakarta https:/…",id,t,,,,,,,,,,,,,,,,,,,,,753971817283366913,https://t.co/UxGBKjjEwU,http://pbs.twimg.com/media/CnalX4PUsAEfj1Y.jpg,https://pbs.twimg.com/media/CnalX4PUsAEfj1Y.jpg,photo,https://t.co/UxGBKjjEwU,pic.twitter.com/UxGBKjjEwU,http://twitter.com/infojakarta/status/754144793454784512/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":680,""height"":383,""resize"":100},""2"":{""width"":1200,""height"":675,""resize"":100},""3"":{""width"":1200,""height"":675,""resize"":100}}",image/jpeg,165706,jpg,1200,675
143636,helpdesk_dkijakarta,754293257878671362,2016-07-23 13:37:39.663-04,2016-07-16 08:35:01-04,,koesandri,101170872,Andri Kusandri,Jakarta,en,"RT @BeritaJakarta: Jika Warga Jakarta melapor via Qlue, Pemprov DKI akan menindaklanjutinya via CROP (via @DKIJakarta). https://t.co/FphDCJ…",id,t,,,,,,,,,,,,,,,,,,,,,753808534836346880,https://t.co/FphDCJCfI1,http://pbs.twimg.com/media/CnYQ3luUAAABcc8.png,https://pbs.twimg.com/media/CnYQ3luUAAABcc8.png,photo,https://t.co/FphDCJCfI1,pic.twitter.com/FphDCJCfI1,http://twitter.com/DKIJakarta/status/753838029660303361/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":680,""height"":340,""resize"":100},""2"":{""width"":1200,""height"":600,""resize"":100},""3"":{""width"":2048,""height"":1024,""resize"":100}}",image/png,437799,png,2048,1024
143635,helpdesk_dkijakarta,754305000210255872,2016-07-23 13:37:39.663-04,2016-07-16 09:21:41-04,,Apit07900051,700743955135250436,Apit Raharjo,Jakarta Barat ,id,RT @KebersihanDKI: Wakadis @bangAli_MH tinjau pengerukan kali cibubur krendang jakbar @DKIJakarta @basuki_btp @IsnawaAdji https://t.co/XD2R…,id,t,,,,,,,,,,,,,,,,,,,,,753500736420401152,https://t.co/XD2ROOi9Nj,http://pbs.twimg.com/media/CnT47XRVUAAE4HC.jpg,https://pbs.twimg.com/media/CnT47XRVUAAE4HC.jpg,photo,https://t.co/XD2ROOi9Nj,pic.twitter.com/XD2ROOi9Nj,http://twitter.com/KebersihanDKI/status/753500796466057216/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":680,""height"":383,""resize"":100},""2"":{""width"":1032,""height"":581,""resize"":100},""3"":{""width"":1032,""height"":581,""resize"":100}}",image/jpeg,124397,jpg,1032,581
143634,helpdesk_dkijakarta,754305823766028288,2016-07-23 13:37:39.663-04,2016-07-16 09:24:57-04,,AthenaAnetha,2855732418,Anetha Athena,"Denpasar, Bali",en,@BaliFokus @DKIJakarta @basuki_btp (0/10) Mengapa kita harus tolak PLTSa (teknologi termal) dan #TolakBakarSampah?,id,f,,1276455295,BaliFokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143633,helpdesk_dkijakarta,754306147956371457,2016-07-23 13:37:39.663-04,2016-07-16 09:26:14-04,,AthenaAnetha,2855732418,Anetha Athena,"Denpasar, Bali",en,@BaliFokus @DKIJakarta @basuki_btp (1/10) PLTSa-termal beresiko mbahayakan kesehatan masyarakat & lingkungan #TolakBakarSampah,id,f,,1276455295,BaliFokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143632,helpdesk_dkijakarta,754306370816516097,2016-07-23 13:37:39.663-04,2016-07-16 09:27:07-04,,AthenaAnetha,2855732418,Anetha Athena,"Denpasar, Bali",en,"@BaliFokus @DKIJakarta @basuki_btp (2/10) Bakar sampah Indonesia yg tercampur/basah/organik = bakar air, butuh bahan bakar #TolakBakarSampah",id,f,,1276455295,BaliFokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143631,helpdesk_dkijakarta,754306621421916160,2016-07-23 13:37:39.663-04,2016-07-16 09:28:07-04,,AthenaAnetha,2855732418,Anetha Athena,"Denpasar, Bali",en,"@BaliFokus @DKIJakarta @basuki_btp (3/10) Pningkatan emisi CO2, lepasan senyw B3, krisis sbrdaya alam & p'borosan energi. #TolakBakarSampah",id,f,,1276455295,BaliFokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143630,helpdesk_dkijakarta,754306915195170820,2016-07-23 13:37:39.663-04,2016-07-16 09:29:17-04,,AthenaAnetha,2855732418,Anetha Athena,"Denpasar, Bali",en,@BaliFokus @DKIJakarta @basuki_btp (4/10) Konversi sampah jadi energi di tingkat t'akhir dalam hirarki p'lolaan sampah #TolakBakarSampah,id,f,,1276455295,BaliFokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143629,helpdesk_dkijakarta,754307115338969088,2016-07-23 13:37:39.663-04,2016-07-16 09:30:05-04,,AthenaAnetha,2855732418,Anetha Athena,"Denpasar, Bali",en,@BaliFokus @DKIJakarta @basuki_btp (5/10) PLTSa u/ atasi krisis energi t’lalu reduksionis & bertentangan UU Sampah 18/2008 #TolakBakarSampah,id,f,,1276455295,BaliFokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
